,time,C position,C speed,C current max,F position,F pos check,F speed,F current,F voltage err,F temp err,F motion,F overload,F backdrive,F parameter,F saturation,F fatal err
0,0.229746,150.0002513274123,50,10,0.0,208.77911522633747,0,0.0,0,0,False,False,False,False,False,False
1,0.387659,158.23508232956738,50,10,0.0,208.77911522633747,0,0.0,0,0,False,False,False,False,False,False
2,0.523608,162.45885899752946,50,10,141.4,208.77911522633747,0,0.0,0,0,False,False,False,False,False,False
3,0.577196,166.94870773817772,50,10,141.6,126.55576131687242,0,0.0,0,0,False,False,False,False,False,False
4,0.678463,167.8112817177719,50,10,141.6,126.55576131687242,0,0.0,0,0,False,False,False,False,False,False
5,0.726048,171.81702215229578,50,10,141.6,126.55576131687242,20,25.8,0,0,False,False,False,False,False,False
6,0.823596,172.38519179583167,50,10,142.1,126.55576131687242,50,1.4000000000000001,0,0,False,False,False,False,False,False
7,0.92568,176.16590651820636,50,10,144.9,126.55576131687242,50,2.1,0,0,False,False,False,False,False,False
8,1.031414,178.4793408184625,50,10,148.70000000000002,126.55576131687242,50,2.4000000000000004,0,0,False,False,False,False,False,False
9,1.135256,181.94814155144817,50,10,152.3,128.82921810699588,50,2.6,0,0,False,False,False,False,False,False
10,1.243582,184.72114911626466,50,10,155.4,128.82921810699588,50,2.7,0,0,False,False,False,False,False,False
11,1.347341,188.5174953213665,50,10,158.9,132.23940329218107,50,2.8000000000000003,0,0,False,False,False,False,False,False
12,1.452281,190.8858090565528,50,10,162.5,132.23940329218107,50,2.8000000000000003,0,0,False,False,False,False,False,False
13,1.556184,194.21206590526117,50,10,165.4,135.64958847736625,50,2.9000000000000004,0,0,False,False,False,False,False,False
14,1.664376,196.76540918368124,50,10,168.9,135.64958847736625,50,2.9000000000000004,0,0,False,False,False,False,False,False
15,1.766417,200.2375278824282,50,10,172.5,139.05977366255144,50,2.9000000000000004,0,0,False,False,False,False,False,False
